season;episode;users_reviews
8;6;7358
8;5;3906
8;3;3749
8;4;2277
8;1;655
8;2;537
6;9;253
6;10;182
7;6;181
7;7;133
5;10;110
3;9;106
7;4;94
5;8;89
7;1;88
6;8;68
6;1;64
1;1;61
4;8;58
7;2;54
5;9;53
6;5;53
7;5;53
6;2;51
7;3;49
4;9;46
5;6;43
4;6;42
4;10;41
6;6;36
1;10;34
2;9;34
4;2;30
1;9;30
6;4;29
6;7;28
5;1;28
1;2;27
2;10;27
6;3;26
4;4;25
3;4;25
1;5;24
4;1;23
1;6;23
1;4;22
2;1;22
1;3;21
3;3;21
3;10;21
1;7;21
5;5;20
2;6;20
1;8;20
4;5;19
5;4;19
3;1;19
4;7;19
2;4;19
2;2;19
3;7;19
5;3;18
3;2;18
5;2;17
3;8;16
5;7;16
4;3;15
2;3;15
3;5;15
2;7;14
2;5;14
2;8;13
3;6;13
